id_itens,data_compra,status_id,from_iata,to_iata,tipo_viagem,data_ida,data_volta,valor_passagem,milhas_usadas,adultos,criancas,mes_compra,dia_semana_compra,usa_milhas,passageiros_total,status,iata,is_mercosul
89,2019-08-11,2,GIG,MCO,Ida e volta,2019-08-26 06:30:00,2019-09-04 15:05:00,6075.64013671874,0,2,0,2019-08,Sunday,False,2,Transacao cancelada,GIGMCO,0
90,2019-08-05,1,GIG,IOS,Somente ida,2019-08-26 08:45:00,,375.049987792968,12000,1,0,2019-08,Monday,True,1,Transacao emitida,GIGIOS,1
91,2019-08-13,1,GIG,SCL,Ida e volta,2019-08-26 10:55:00,2019-08-31 05:00:00,1286.01000976562,0,1,0,2019-08,Tuesday,False,1,Transacao emitida,GIGSCL,1
92,2019-08-06,1,GIG,SCL,Ida e volta,2019-08-26 10:55:00,2019-08-31 13:39:00,1620.76000976562,32000,1,0,2019-08,Tuesday,True,1,Transacao emitida,GIGSCL,1
93,2019-08-10,1,GIG,MIA,Somente ida,2019-08-26 11:30:00,,1496.11999511718,54000,1,0,2019-08,Saturday,True,1,Transacao emitida,GIGMIA,0
94,2019-08-22,2,GIG,RAO,Somente ida,2019-08-26 13:10:00,,741.75,0,1,0,2019-08,Thursday,False,1,Transacao cancelada,GIGRAO,1
95,2019-08-25,2,LIS,GIG,Somente ida,2019-08-26 16:30:00,,1704.58996582031,45500,1,0,2019-08,Sunday,True,1,Transacao cancelada,LISGIG,1
96,2019-08-25,2,LIS,GIG,Somente ida,2019-08-26 16:30:00,,3410.55004882812,91000,2,0,2019-08,Sunday,True,2,Transacao cancelada,LISGIG,1
97,2019-08-10,1,GIG,FEN,Ida e volta,2019-08-26 22:00:00,2019-08-30 15:40:00,1805.90002441406,0,1,0,2019-08,Saturday,False,1,Transacao emitida,GIGFEN,1
98,2019-08-23,2,MIA,GIG,Somente ida,2019-08-26 22:45:00,,2700.0,80000,1,0,2019-08,Friday,True,1,Transacao cancelada,MIAGIG,1
99,2019-08-22,1,MIA,GIG,Somente ida,2019-08-26 22:55:00,,2786.67993164062,76000,1,1,2019-08,Thursday,True,2,Transacao emitida,MIAGIG,1
100,2019-08-13,2,MIA,GIG,Somente ida,2019-08-26 22:55:00,,1695.15002441406,40000,1,0,2019-08,Tuesday,True,1,Transacao cancelada,MIAGIG,1
101,2019-08-23,2,MIA,GIG,Somente ida,2019-08-26 22:55:00,,1356.56005859375,40000,1,0,2019-08,Friday,True,1,Transacao cancelada,MIAGIG,1
102,2019-08-12,3,LIS,GIG,Somente ida,2019-08-26 23:30:00,,2655.06005859374,79000,1,0,2019-08,Monday,True,1,Aguardando forma de pagamento,LISGIG,1
103,2019-08-24,1,RAO,EZE,Somente ida,2019-08-27 06:05:00,,782.200012207031,0,1,0,2019-08,Saturday,False,1,Transacao emitida,RAOEZE,1
104,2019-08-05,1,RAO,GIG,Somente ida,2019-08-27 13:40:00,,322.709991455078,6655,1,0,2019-08,Monday,True,1,Transacao emitida,RAOGIG,1
105,2019-08-26,2,LIS,GIG,Somente ida,2019-08-27 16:30:00,,0.0,91000,2,0,2019-08,Monday,True,2,Transacao cancelada,LISGIG,1
106,2019-08-14,2,GIG,MIA,Ida e volta,2019-08-28 01:25:00,2019-09-02 18:05:00,2432.90991210937,0,1,0,2019-08,Wednesday,False,1,Transacao cancelada,GIGMIA,0
107,2019-08-13,1,GIG,MIA,Ida e volta,2019-08-28 06:30:00,2019-09-01 16:15:00,2396.35009765624,0,1,0,2019-08,Tuesday,False,1,Transacao emitida,GIGMIA,0
108,2019-08-23,1,SCL,GIG,Somente ida,2019-08-28 15:45:00,,2581.52001953125,53000,2,0,2019-08,Friday,True,2,Transacao emitida,SCLGIG,1
109,2019-08-26,1,LIS,AMS,Somente ida,2019-08-28 18:25:00,,1112.78002929687,40000,1,0,2019-08,Monday,True,1,Transacao emitida,LISAMS,0
110,2019-08-20,1,BCN,GIG,Somente ida,2019-08-28 20:20:00,,0.0,158000,2,0,2019-08,Tuesday,True,2,Transacao emitida,BCNGIG,1
